[2020-03-29 01:31:05] Info: Starting up the df::LogManager...
[2020-03-29 01:31:05] Info: Starting up the df::WorldManager...
[2020-03-29 01:31:05] Info: Starting up the df::GameManager...
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 26, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 19, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 10, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 26, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 19, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 8, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 27, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 18, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 32, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 7, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 28, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 17, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 33, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 6, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 29, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 16, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 34, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 5, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 30, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 15, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 35, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 6, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 29, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 16, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 34, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 7, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 28, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 17, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 33, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 8, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 27, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 18, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 32, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 26, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 19, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 10, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 20, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 26, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 19, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 8, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 27, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 18, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 32, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 7, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 28, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 17, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 33, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 6, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 29, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 16, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 34, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 5, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 30, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 15, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 35, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 6, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 29, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Remove Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 15, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 1, 'type': 'dfe::saucer', 'x': 14, 'y': 15, 'altitude': 3, 'maxStepCount': 25}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 34, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 7, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 28, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 33, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 8, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 27, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 32, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 26, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 10, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 26, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 8, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 27, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 32, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:05] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 7, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:05] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 28, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:05] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 33, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 6, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 29, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 34, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 5, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 30, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 35, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 6, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 29, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 34, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 7, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 28, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 33, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 8, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 27, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 32, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 26, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 10, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 26, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 8, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 27, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 32, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 7, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 28, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 33, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 6, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 29, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 34, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 5, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 30, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 35, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 6, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 29, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 34, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 7, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 28, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 33, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 8, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 27, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 32, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 26, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 10, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Remove Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 25, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 2, 'type': 'dfe::saucer', 'x': 24, 'y': 20, 'altitude': 2, 'maxStepCount': 50}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 8, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 32, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 7, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 33, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 6, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 34, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 5, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 35, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 6, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 34, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 7, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 33, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 8, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 32, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:06] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 10, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:06] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 30, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:07] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 9, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:07] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 31, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:07] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 8, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:07] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 32, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:07] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 7, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:07] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 33, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
[2020-03-29 11:51:07] Info: Saucer: {'id': 0, 'type': 'dfe::saucer', 'x': 6, 'y': 10, 'altitude': 2, 'maxStepCount': 0}
[2020-03-29 11:51:07] Info: Saucer: {'id': 3, 'type': 'dfe::saucer', 'x': 34, 'y': 25, 'altitude': 3, 'maxStepCount': 75}
